Inventar-ID;Inventar-Nr;Inventar-Bezeichnung;Serien-Nr.;Anlagenbezeichnung/EMTEC;Typ / Modell;Materialbez.;Basisstelle;Einsatzstelle;letzte Stelle;Fahrzeug;Besitz;Anschaffung;Ausmusterungsdatum;Anschaffungskosten;Gehört zu Inventar-Nr;Lagerort;Anlagenkonto;Reservierung bis;Bemerkung;Barcode;Aktiv;Aktives Produkt;Hat Bild;Örtlicher Bereich;Haus;Ebene;Raum;Baujahr;Garantie von;Garantie bis;Aktennummer;Neubeschaff.preis;Abschreibungssatz;Monatsabschreibung;Restwert;abgeschrieben am;Instandhaltungsgrenze Jahr;Instandhaltungsgrenze;Instandhaltungskosten;Nutzungsdauer;technischer Nutzungssatz;technische Monatsabschreibung;technischer Restwert;technisch abgeschrieben am;Spannung;Strom;Leistung;Messfunktion vorhanden;IT fähig;CE Kennzeichen vorh.;Schutzart IP-Code;Anzahl Anschlüsse;Anschlussleitung fest;Anlageort fest;Gehört zu;Zuordnung;man. Benutzer;Benutzer;Änderungsdatum/Zeit;man. Änderungsdatum;Hersteller;Logistik-Status;Anleitung vorhanden;Kundendienst;Technik-Status;Technik-Anlage;MPG Klasse;Lieferant;MP Verantwortlicher;MP Beauftragter;Verantwortlicher §5;Geräteklassifikation VDE;Kostenstelle;Kostenart;Konto;Fachbereich;CAD-ID;Inventar-Garantie (Monate);Letzter Raum (Barcode);Letzter Raum (Nr);letzter Raum;Letzter Raum (Zeitstempel);Typ/Modell Freitext;Netzwerknummer;IP-Adresse;Budget;Anzahl Aufträge;Eingabenummer;Fremd-ID;Anzahl Tätigkeiten;Anzahl Termine;Anzahl Verträge;Länge;Breite;Höhe;Gewicht;Farbe;Fläche;Zusammensetzung;Inbetriebnahmedatum;End-Of-Service;Risikoklasse;EMTEC-Bezeichnung;EMTEC-Code;Verfügbarkeitsstufe;Investitionsnummer (Zugang);Investitionsnummer (Abgang);Projekt;Abrechnungscode;Geplanter Hersteller;Geplanter Typ;Ersetzt durch;1. Erneuerung;2. Erneuerung;Erneuerung (Verlängerung);1. Investitionssumme;2. Investitionssumme;Investitionssumme (Verlängerung);Bereitstellungspauschale (Normal);Bereitstellungspauschale (Verlängerung);Bewirtschaftungspauschale (Normal);Bewirtschaftungspauschale (Verlängerung);Verbrauchsmaterialpauschale Normal;Verbrauchsmaterialpauschale Verlängerung;Investitionsantragsnummer;Hauptgerät;Sammelposition Anzahl;Softwareversion;Leistung A;Leistung B;Leistung C
5376;5015058;ZLA - 057;;;;ZLA;AWT ZLA REIN;;AWT Bahnhof F1;;;;;0;;;;;;05015058;WAHR;FALSCH;FALSCH;;;;;;;;;;;;;;;;;;;;;;;;;FALSCH;FALSCH;;;;FALSCH;FALSCH;;;;DYN_Import;07-05-2020  11:59;;;belegt;FALSCH;;;;;;;;;;;;;;;;;;;;;;;;1795;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FALSCH;;;;;
5377;5015059;ZLA - 058;;;;ZLA;AWT ZLA REIN;;AWT Bahnhof IT;;;;;0;;;;;;05015059;WAHR;FALSCH;FALSCH;;;;;;;;;;;;;;;;;;;;;;;;;FALSCH;FALSCH;;;;FALSCH;FALSCH;;;;DYN_Import;07-05-2020  11:59;;;belegt;FALSCH;;;;;;;;;;;;;;;;;;;;;;;;1929;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FALSCH;;;;;
5378;5015060;ZLA - 059;;;;ZLA;AWT ZLA REIN;;AWT Bahnhof K1;;;;;0;;;;;;05015060;WAHR;FALSCH;FALSCH;;;;;;;;;;;;;;;;;;;;;;;;;FALSCH;FALSCH;;;;FALSCH;FALSCH;;;;DYN_Import;07-05-2020  11:59;;;belegt;FALSCH;;;;;;;;;;;;;;;;;;;;;;;;1882;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FALSCH;;;;;
5379;5015061;ZLA - 060;;;;ZLA;AWT ZLA REIN;;AWT Bahnhof K1;;;;;0;;;;;;05015061;WAHR;FALSCH;FALSCH;;;;;;;;;;;;;;;;;;;;;;;;;FALSCH;FALSCH;;;;FALSCH;FALSCH;;;;DYN_Import;07-05-2020  11:59;;;belegt;FALSCH;;;;;;;;;;;;;;;;;;;;;;;;2038;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FALSCH;;;;;
5380;5015062;ZLA - 061;;;;ZLA;AWT ZLA REIN;;AWT Bahnhof NZ1;;;;;0;;;;;;05015062;WAHR;FALSCH;FALSCH;;;;;;;;;;;;;;;;;;;;;;;;;FALSCH;FALSCH;;;;FALSCH;FALSCH;;;;DYN_Import;07-05-2020  11:59;;;belegt;FALSCH;;;;;;;;;;;;;;;;;;;;;;;;1530;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FALSCH;;;;;
5381;5015063;ZLA - 062;;;;ZLA;AWT ZLA REIN;;AWT Bahnhof IT;;;;;0;;;;;;05015063;WAHR;FALSCH;FALSCH;;;;;;;;;;;;;;;;;;;;;;;;;FALSCH;FALSCH;;;;FALSCH;FALSCH;;;;DYN_Import;07-05-2020  11:59;;;belegt;FALSCH;;;;;;;;;;;;;;;;;;;;;;;;1552;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FALSCH;;;;;
5382;5015064;ZLA - 063;;;;ZLA;AWT ZLA REIN;;AWT Bahnhof K2;;;;;0;;;;;;05015064;WAHR;FALSCH;FALSCH;;;;;;;;;;;;;;;;;;;;;;;;;FALSCH;FALSCH;;;;FALSCH;FALSCH;;;;DYN_Import;07-05-2020  11:59;;;belegt;FALSCH;;;;;;;;;;;;;;;;;;;;;;;;1786;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FALSCH;;;;;
5383;5015065;ZLA - 064;;;;ZLA;AWT ZLA REIN;;AWT Bahnhof K1;;;;;0;;;;;;05015065;WAHR;FALSCH;FALSCH;;;;;;;;;;;;;;;;;;;;;;;;;FALSCH;FALSCH;;;;FALSCH;FALSCH;;;;DYN_Import;07-05-2020  11:59;;;belegt;FALSCH;;;;;;;;;;;;;;;;;;;;;;;;1631;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FALSCH;;;;;
5384;5015066;ZLA - 065;;;;ZLA;AWT ZLA REIN;;AWT Bahnhof NZ1;;;;;0;;;;;;05015066;WAHR;FALSCH;FALSCH;;;;;;;;;;;;;;;;;;;;;;;;;FALSCH;FALSCH;;;;FALSCH;FALSCH;;;;DYN_Import;07-05-2020  11:59;;;belegt;FALSCH;;;;;;;;;;;;;;;;;;;;;;;;1996;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FALSCH;;;;;
5385;5015067;ZLA - 066;;;;ZLA;AWT ZLA REIN;;AWT Bahnhof K2;;;;;0;;;;;;05015067;WAHR;FALSCH;FALSCH;;;;;;;;;;;;;;;;;;;;;;;;;FALSCH;FALSCH;;;;FALSCH;FALSCH;;;;DYN_Import;07-05-2020  11:59;;;belegt;FALSCH;;;;;;;;;;;;;;;;;;;;;;;;1666;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FALSCH;;;;;
5386;5015068;ZLA - 067;;;;ZLA;AWT ZLA REIN;;AWT Bahnhof IT;;;;;0;;;;;;05015068;WAHR;FALSCH;FALSCH;;;;;;;;;;;;;;;;;;;;;;;;;FALSCH;FALSCH;;;;FALSCH;FALSCH;;;;DYN_Import;07-05-2020  11:59;;;belegt;FALSCH;;;;;;;;;;;;;;;;;;;;;;;;1798;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FALSCH;;;;;
5387;5015069;ZLA - 068;;;;ZLA;AWT ZLA REIN;;AWT Bahnhof IT;;;;;0;;;;;;05015069;WAHR;FALSCH;FALSCH;;;;;;;;;;;;;;;;;;;;;;;;;FALSCH;FALSCH;;;;FALSCH;FALSCH;;;;DYN_Import;07-05-2020  11:59;;;belegt;FALSCH;;;;;;;;;;;;;;;;;;;;;;;;1718;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FALSCH;;;;;
5388;5015070;ZLA - 069;;;;ZLA;AWT ZLA REIN;;AWT Bahnhof IT;;;;;0;;;;;;05015070;WAHR;FALSCH;FALSCH;;;;;;;;;;;;;;;;;;;;;;;;;FALSCH;FALSCH;;;;FALSCH;FALSCH;;;;DYN_Import;07-05-2020  11:59;;;belegt;FALSCH;;;;;;;;;;;;;;;;;;;;;;;;1782;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FALSCH;;;;;
5389;5015071;ZLA - 070;;;;ZLA;AWT ZLA REIN;;AWT Bahnhof M3;;;;;0;;;;;;05015071;WAHR;FALSCH;FALSCH;;;;;;;;;;;;;;;;;;;;;;;;;FALSCH;FALSCH;;;;FALSCH;FALSCH;;;;DYN_Import;07-05-2020  11:59;;;belegt;FALSCH;;;;;;;;;;;;;;;;;;;;;;;;2054;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FALSCH;;;;;
5390;5015072;ZLA - 071;;;;ZLA;AWT ZLA REIN;;AWT Bahnhof K1;;;;;0;;;;;;05015072;WAHR;FALSCH;FALSCH;;;;;;;;;;;;;;;;;;;;;;;;;FALSCH;FALSCH;;;;FALSCH;FALSCH;;;;DYN_Import;07-05-2020  11:59;;;belegt;FALSCH;;;;;;;;;;;;;;;;;;;;;;;;861;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FALSCH;;;;;
5391;5015073;ZLA - 072;;;;ZLA;AWT ZLA REIN;;AWT Bahnhof M3;;;;;0;;;;;;05015073;WAHR;FALSCH;FALSCH;;;;;;;;;;;;;;;;;;;;;;;;;FALSCH;FALSCH;;;;FALSCH;FALSCH;;;;DYN_Import;07-05-2020  11:59;;;belegt;FALSCH;;;;;;;;;;;;;;;;;;;;;;;;1970;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FALSCH;;;;;
5392;5015074;ZLA - 073;;;;ZLA;AWT ZLA REIN;;AWT Bahnhof F2;;;;;0;;;;;;05015074;WAHR;FALSCH;FALSCH;;;;;;;;;;;;;;;;;;;;;;;;;FALSCH;FALSCH;;;;FALSCH;FALSCH;;;;DYN_Import;07-05-2020  11:59;;;belegt;FALSCH;;;;;;;;;;;;;;;;;;;;;;;;1788;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FALSCH;;;;;
5393;5015075;ZLA - 074;;;;ZLA;AWT ZLA REIN;;AWT Bahnhof NZ1;;;;;0;;;;;;05015075;WAHR;FALSCH;FALSCH;;;;;;;;;;;;;;;;;;;;;;;;;FALSCH;FALSCH;;;;FALSCH;FALSCH;;;;DYN_Import;07-05-2020  11:59;;;belegt;FALSCH;;;;;;;;;;;;;;;;;;;;;;;;1702;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FALSCH;;;;;
5394;5015076;ZLA - 075;;;;ZLA;AWT ZLA REIN;;AWT Bahnhof IT;;;;;0;;;;;;05015076;WAHR;FALSCH;FALSCH;;;;;;;;;;;;;;;;;;;;;;;;;FALSCH;FALSCH;;;;FALSCH;FALSCH;;;;DYN_Import;07-05-2020  11:59;;;belegt;FALSCH;;;;;;;;;;;;;;;;;;;;;;;;1607;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FALSCH;;;;;
5395;5015077;ZLA - 076;;;;ZLA;AWT ZLA REIN;;AWT Bahnhof NZ2;;;;;0;;;;;;05015077;WAHR;FALSCH;FALSCH;;;;;;;;;;;;;;;;;;;;;;;;;FALSCH;FALSCH;;;;FALSCH;FALSCH;;;;DYN_Import;07-05-2020  11:59;;;belegt;FALSCH;;;;;;;;;;;;;;;;;;;;;;;;1491;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FALSCH;;;;;
